id,name,street_address,city,state,zip_code,country,phone,description,product_types,hazmat_handling,transfer_modes,railroads,track_capacity,security_features,equipment,cities_served,storage_options,heating_capabilities,kosher_certification,onsite_railcar_storage,onsite_scale,weight_restricted_263k,weight_restricted_286k,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,about,url,scraped_at
1296,RRVW Casselton Transload,1630 1st Ave S,Casselton,ND,58012,US,+12186434994,"RRVW Casselton Transload is a transloading company in Casselton, ND, United States. This is a Commtrex Verified location.",Dry Bulk; Liquids,No,Rail to Truck; Truck to Rail,"BNSF - Mon, Wed, Thu, Fri",25 railcar spot(s),Lighting; Paved Roads,Loader - Front End,"Duluth, MN; Fargo, ND; Minneapolis, MN; Sioux Falls, SD; St. Cloud, MN; St. Paul, MNWinnipeg, MB","Bulk Storage, Outdoor",No,No,No,Yes,No,No,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,Closed,Closed,,https://www.commtrex.com/transloading/location/1296.html,2026-02-09T21:39:17.741053
1297,RRVW Pingree Transload,HWY 281,Pingree,ND,58476,US,+12186434994,"RRVW Pingree Transload is a transloading company in Pingree, ND, United States. This is a Commtrex Verified location.",Dry Bulk; Oversized,No,Rail to Truck; Truck to Rail,"BNSF - Mon, Tue, Wed, Thu, Fri",300 railcar spot(s),none provided,none provided,"Fargo, ND; Winnipeg, MB","Bulk Storage, Outdoor",No,No,Yes,No,No,No,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,https://www.commtrex.com/transloading/location/1297.html,2026-02-09T21:39:20.288971
1298,RRVW Wahpeton Transload,2483 9th St. N,Wahpeton,ND,58075,US,+12186434994,"RRVW Wahpeton Transload is a transloading company in Wahpeton, ND, United States. This is a Commtrex Verified location.",Dry Bulk; Liquids; Packaged Goods,Yes,Rail to Truck; Truck to Rail,"BNSF - Mon, Tue, Wed, Thu, Fri",15 railcar spot(s),Lighting,Cross-Dock - Rail to Truck; Cross-Dock - Truck to Rail; Dock - Portable; Dock - Rail; Forklift - Lumber; Loader - Front EndRamp - Portable,"Duluth, MN; Fargo, ND; Minneapolis, MN; Sioux Falls, SD; St. Cloud, MN; St. Paul, MNWinnipeg, MB","Bulk Storage, Indoor, Temperature Controlled",Yes,No,No,No,No,No,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,Closed,Closed,,https://www.commtrex.com/transloading/location/1298.html,2026-02-09T21:39:22.733897
2739,South Shore Transload,800 Lumber Center Drive,Michigan City,IN,46360,US,+12192144294,"South Shore Transload is a transloading company in Michigan City, IN, United States. This is a Commtrex Verified location.",Dry Bulk; Liquids; Oversized,No,Rail to Truck; Truck to Rail,"BNSF - Mon, Tue, Wed, Thu, Fri, Sat; CN - Mon, Tue, Wed, Thu, Fri, Sat; CP - Mon, Tue, Wed, Thu, Fri, Sat; CSX - Mon, Tue, Wed, Thu, Fri, Sat; NS - Mon, Tue, Wed, Thu, Fri, Sat; UP - Mon, Tue, Wed, Thu, Fri, Sat",10 railcar spot(s),Fencing; Security Gate Entrance; Surveillance Cameras,Scale - Certified Truck,"Ann Arbor, MI; Appleton, WI; Aurora, IL; Bloomington, IL; Bloomington, IN; Carmel, INChampaign, ILChatham, ONChicago, ILCincinnati, OHColumbus, OHDavenport, IADayton, OHDetroit, MIElgin, ILElkhart, INFlint, MIFort Wayne, INGrand Rapids, MIGreen Bay, WIHolland, MIIndianapolis, INIowa City, IAJoliet, ILKalamazoo, MIKenosha, WILafayette, INLansing, MILorain, OHMadison, WIMilwaukee, WIMuskegon, MINaperville, ILPeoria, ILRacine, WIRockford, ILRound Lake Beach, ILSaginaw, MISouth Bend, INSouth Lyon, MISpringfield, ILSterling Heights, MIToledo, OHWarren, MIWindsor, ON","Bulk Storage, Outdoor",No,No,No,Yes,No,Yes,,,,,,,,,https://www.commtrex.com/transloading/location/2739.html,2026-02-09T21:39:25.226854
2676,Paw Paw River Transload LLC,59370 Red Arrow Hwy,Hartford,MI,49057,US,+19896151037,"Paw Paw River Transload LLC is a transloading company in Hartford, MI, United States. This is a Commtrex Verified location.",Dry Bulk; Food Grade; Liquids; Oversized; Packaged Goods,Yes,Container to Truck; Container to Warehouse; Rail to Truck; Rail to Warehouse; Truck to Container; Truck to RailTruck to TruckTruck to WarehouseWarehouse to ContainerWarehouse to RailWarehouse to Truck,"CSX - Tue, Wed, Thu, Fri, Sat",35 railcar spot(s),Lighting,Conveyor - Bulk; Conveyor - Bulk Food grade; Conveyor - Sand; Conveyor - Stacker; Crane - Portable >= 35 Tons; Cross-Dock - Rail to TruckCross-Dock - Truck to RailDock - PortableDock - RailDock - TruckForklift - HeavyForklift - LumberLoader - Front EndLoader - MobileLoader - RailcarLoader - TruckLocomotiveMobile HopperPump - PneumaticRailcar MoverRamp - PortableScale - Certified TruckSwitch EngineTelehandler,"Ann Arbor, MI; Appleton, WI; Aurora, IL; Bloomington, IL; Bloomington, IN; Carmel, INChampaign, ILChatham, ONChicago, ILCincinnati, OHCleveland, OHColumbus, OHDavenport, IADayton, OHDetroit, MIElgin, ILElkhart, INFlint, MIFort Wayne, INGrand Rapids, MIGreen Bay, WIHolland, MIIndianapolis, INJoliet, ILKalamazoo, MIKenosha, WILafayette, INLansing, MILorain, OHMadison, WIMilwaukee, WIMuskegon, MINaperville, ILPeoria, ILRacine, WIRockford, ILRound Lake Beach, ILSaginaw, MISouth Bend, INSouth Lyon, MISpringfield, ILSterling Heights, MIToledo, OHWarren, MIWindsor, ON","Food Grade, Humidity Controlled, Indoor, Outdoor, Temperature Controlled",No,No,Yes,Yes,No,Yes,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,Closed,Closed,,https://www.commtrex.com/transloading/location/2676.html,2026-02-09T21:39:27.691534
1336,Mansfield Railport,1427 Sprang Parkway,Mansfield,OH,44903,US,+12159624866,"Mansfield Railport is a transloading company in Mansfield, OH, United States. This is a Commtrex Verified location.",Dry Bulk; Oversized; Packaged Goods,No,Container to Rail; Container to Truck; Container to Warehouse; Rail to Container; Rail to Truck; Rail to WarehouseTruck to ContainerTruck to RailTruck to TruckTruck to WarehouseWarehouse to ContainerWarehouse to RailWarehouse to Truck,"CSX - Mon, Tue, Wed, Thu, Fri; NS - Mon, Tue, Wed, Thu, Fri",19 railcar spot(s),Lighting; Paved Roads; Surveillance Cameras,Conveyor - Bulk; Conveyor - Sand; Crane - Overhead >= 35 Tons; Cross-Dock - Rail to Truck; Cross-Dock - Truck to Rail; Dock - RailDock - TruckForklift - HeavyForklift - LumberLoader - Front EndLoader - RailcarLoader - TruckLocomotivePipe Handling EquipmentPump - PneumaticScale - Certified RailScale - Certified TruckSwitch Engine,"Akron, OH; Amherst, NY; Ann Arbor, MI; Bloomington, IN; Brampton, ON; Buffalo, NYBurlington, ONCambridge, ONCanton, OHCarmel, INCharleston, WVChatham, ONCincinnati, OHCleveland, OHColumbus, OHDayton, OHDetroit, MIElkhart, INErie, PAFlint, MIFort Wayne, INGrand Rapids, MIGuelph, ONHamilton, ONHolland, MIHuntington, WVIndianapolis, INKalamazoo, MIKitchener, ONLafayette, INLansing, MILexington, KYLondon, ONLorain, OHLouisville, KYMilton, ONMississauga, ONNiagara Falls, ONOakville, ONPittsburgh, PASaginaw, MISouth Bend, INSouth Lyon, MISt. Catharines, ONSterling Heights, MIToledo, OHWarren, MIWaterloo, ONWindsor, ONYoungstown, OH","Bulk Storage, Humidity Controlled, Indoor, Outdoor, Temperature Controlled",Yes,No,Yes,Yes,No,Yes,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,Closed,Closed,,https://www.commtrex.com/transloading/location/1336.html,2026-02-09T21:39:30.231804
1235,"Pegasus National, Inc.",3700 14th Avenue North,Birmingham,AL,35234,US,+12059078007,"Pegasus National, Inc. is a transloading company in Birmingham, AL, United States. This is a Commtrex Verified location.",Dry Bulk; Food Grade; Liquids; Oversized; Packaged Goods,Yes,Rail to Truck; Truck to Rail,"BNSF - Tue, Wed, Thu, Fri, Sat; CSX - Tue, Wed, Thu, Fri, Sat; NS - Mon, Wed, Fri",160 railcar spot(s),Fencing; Lighting; Paved Roads; Security Gate Entrance; Surveillance Cameras,Conveyor - Bulk; Conveyor - Sand; Cross-Dock - Rail to Truck; Cross-Dock - Truck to Rail; Dock - Portable; Dock - RailDock - TruckForklift - HeavyForklift - LumberGantry Pump - Class 3 FlammablesLoader - Front EndLoader - MobileLoader - RailcarLoader - TruckMagnet LiftMobile HopperMobile ScreenerPipe Handling EquipmentPump - CentrifugalPump - PneumaticRailcar MoverRamp - PortableScale - Certified RailScale - Certified TruckSilo - Bulk AgriproductsSilo - Bulk CementSilo - Bulk PlasticsSwitch EngineTanks - Liquid StorageTelehandlerVacu-LiftWalinga - Bulk Blower,"Athens, GA; Atlanta, GA; Birmingham, AL; Chattanooga, TN; Clarksville, TN; Columbus, GAGainesville, GAHuntsville, ALJackson, MSKnoxville, TNMacon, GAMemphis, TNMobile, ALMontgomery, ALMurfreesboro, TNNashville, TNPanama City, FLPensacola, FLSandy Springs, GATuscaloosa, ALWarner Robins, GA","Bulk Storage, Indoor, Outdoor",Yes,No,Yes,Yes,No,No,6:00 AM-5:00 PM,6:00 AM-5:00 PM,6:00 AM-5:00 PM,6:00 AM-5:00 PM,6:00 AM-5:00 PM,8:00 AM-3:00 PM,Closed,"Tri-Served [BNSF, CSX, NS*] 160-railcar capacity SIT,
 Transload, Light Repair, Railcar Cleaning Terminal.",https://www.commtrex.com/transloading/location/1235.html,2026-02-09T21:39:32.743725
1236,Bessie Junction,5260 Bessie Flat Top Cutoff Rd,Adamsville,AL,35005,US,+12059078007,"Bessie Junction is a transloading company in Adamsville, AL, United States. This is a Commtrex Verified location.",Dry Bulk; Food Grade; Liquids; Oversized; Packaged Goods,Yes,Rail to Truck; Truck to Rail,"BNSF - Tue, Wed, Thu, Fri, Sat; CSX - Tue, Wed, Thu, Fri, Sat; NS - Mon, Wed, Fri",360 railcar spot(s),Fencing; Lighting; Paved Roads; Security Gate Entrance; Surveillance Cameras,Conveyor - Bulk; Conveyor - Sand; Cross-Dock - Rail to Truck; Cross-Dock - Truck to Rail; Dock - Portable; Dock - RailDock - TruckForklift - HeavyForklift - LumberGantry Pump - Class 3 FlammablesLoader - Front EndLoader - MobileLoader - RailcarLoader - TruckMagnet LiftMobile HopperMobile ScreenerPipe Handling EquipmentPump - CentrifugalPump - PneumaticRailcar MoverRamp - PortableScale - Certified RailScale - Certified TruckSilo - Bulk AgriproductsSilo - Bulk CementSilo - Bulk PlasticsSwitch EngineTanks - Liquid StorageTelehandlerVacu-LiftWalinga - Bulk Blower,"Athens, GA; Atlanta, GA; Birmingham, AL; Chattanooga, TN; Clarksville, TN; Columbus, GAGainesville, GAHuntsville, ALJackson, MSKnoxville, TNMacon, GAMemphis, TNMobile, ALMontgomery, ALMurfreesboro, TNNashville, TNPensacola, FLSandy Springs, GATuscaloosa, ALWarner Robins, GA","Bulk Storage, Food Grade, Indoor, Outdoor",Yes,No,Yes,Yes,No,No,6:00 AM-5:00 PM,6:00 AM-5:00 PM,6:00 AM-5:00 PM,6:00 AM-5:00 PM,6:00 AM-5:00 PM,8:00 AM-3:00 PM,Closed,"Dual-Served Unit Train [BNSF, NS]* 360-railcar capacity Greenfield Inland Waterway SIT, Transload, Light Repair, Railcar Cleaning Terminal.",https://www.commtrex.com/transloading/location/1236.html,2026-02-09T21:39:35.454471
1078,Best Logistics Inc,340 Port Road 22,Stockton,CA,95203,US,+12097626222,"Best Logistics Inc is a transloading company in Stockton, CA, United States. This is a Commtrex Verified location.",Food Grade; Oversized; Packaged Goods,No,Rail to Truck; Truck to Rail,BNSF,none provided,none provided,none provided,"Antioch, CA; Arden-Arcade, CA; Bakersfield, CA; Berkeley, CA; Chico, CA; Clovis, CAConcord, CADaly City, CAElk Grove, CAFairfield, CAFremont, CAFresno, CAGilroy, CAHayward, CAManteca, CAMerced, CAModesto, CAOakland, CARedding, CAReno, NVRichmond, CARoseville, CASacramento, CASalinas, CASan Francisco, CASan Jose, CASan Mateo, CASanta Clara, CASanta Cruz, CASanta Maria, CASanta Rosa, CASeaside, CASparks, NVStockton, CASunnyvale, CATracy, CATurlock, CAVacaville, CAVallejo, CAVisalia, CAYuba City, CA",--,No,No,No,No,No,No,,,,,,,,"Shipping by rail is often the most economical way to ship, but what if your facility is not rail-served?",https://www.commtrex.com/transloading/location/1078.html,2026-02-09T21:39:38.061158
1075,Bakersfield QDC,32535 Seventh Standard Rd.,Bakersfield,CA,93314,US,+16615888203,"Bakersfield QDC is a transloading company in Bakersfield, CA, United States. This is a Commtrex Verified location.",Dry Bulk; Liquids; Oversized; Packaged Goods,No,Rail to Truck; Rail to Warehouse; Truck to Rail; Truck to Truck; Truck to Warehouse; Warehouse to RailWarehouse to Truck,"BNSF - Tue, Thu, Sun",60 railcar spot(s),Fencing; Lighting; Paved Roads; Surveillance Cameras,Conveyor - Bulk; Conveyor - Sand; Cross-Dock - Rail to Truck; Cross-Dock - Truck to Rail; Dock - Portable; Dock - RailDock - TruckForklift - HeavyForklift - LumberLoader - Front EndLoader - MobileLoader - RailcarPipe Handling EquipmentPump - CentrifugalPump - PneumaticRailcar MoverRamp - PortableScale - Certified TruckSilo - Bulk AgriproductsSilo - Bulk CementTanks - Liquid StorageTelehandler,"Anaheim, CA; Antioch, CA; Arden-Arcade, CA; Bakersfield, CA; Berkeley, CA; Burbank, CACarlsbad, CAChula Vista, CAClovis, CAConcord, CACorona, CACosta Mesa, CADaly City, CADowney, CAEast Los Angeles, CAEl Cajon, CAEl Monte, CAElk Grove, CAEnterprise, NVEscondido, CAFairfield, CAFontana, CAFremont, CAFresno, CAFullerton, CAGarden Grove, CAGilroy, CAGlendale, CAHayward, CAHemet, CAHenderson, NVHuntington Beach, CAIndio, CAInglewood, CAIrvine, CAJurupa Valley, CALancaster, CALas Vegas, NVLong Beach, CALos Angeles, CAManteca, CAMerced, CAMission Viejo, CAModesto, CAMoreno Valley, CAMurrieta, CANorth Las Vegas, NVNorwalk, CAOakland, CAOceanside, CAOntario, CAOrange, CAOxnard, CAPalmdale, CAParadise, NVPasadena, CAPomona, CARancho Cucamonga, CARialto, CARichmond, CARiverside, CASacramento, CASalinas, CASan Bernardino, CASan Buenaventura, CASan Diego, CASan Francisco, CASan Jose, CASan Mateo, CASanta Ana, CASanta Barbara, CASanta Clara, CASanta Clarita, CASanta Cruz, CASanta Maria, CASeaside, CASimi Valley, CASpring Valley, NVStockton, CASunnyvale, CASunrise Manor, NVTemecula, CAThousand Oaks, CATijuana, B.C.Torrance, CATracy, CATurlock, CAVallejo, CAVictorville, CAVisalia, CAVista, CAWest Covina, CA","Bulk Storage, Indoor, Outdoor",No,No,No,Yes,No,No,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,Closed,Closed,"Shipping by rail is often the most economical way to ship, but what if your facility is not rail-served?",https://www.commtrex.com/transloading/location/1075.html,2026-02-09T21:39:40.623723
