id,name,location,city,state,interchange_railroads,capacity,hazmat_suited,rail_services,facility_types,track_types,about,url,scraped_at
741,Fairfield Southern Company,"Fairfield, AL",Fairfield,AL,"CSX, NS",100 total spaces,Yes,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair, Recertification","Plant/Mining Site, Repair Shop, Short Line, Storage Yard","FILO, Ladder, Loop","Fairfield Southern Company is a contract in-plant service provider operating within US Steel’s Fairfield Operations at Fairfield, AL directly supporting Fairfield Works manufacturing operations. Fairfield Operations custom creates seamless steel casing and seamless steel line and standard pipe to meet customers’ specifications.",https://www.commtrex.com/railcar-storage/location/741.html,2026-02-10T02:10:12.877764
712,Birmingham Terminal Railway,"Fairfield, AL",Fairfield,AL,"BNSF, CSX, NS",700 total spaces,Yes,"Cherry Picking, Railcar Maintenance, Railcar Repair","Short Line, Storage Yard",Ladder,"Class I Interchange Points
BNSF @ Birmingham, AL
CSXT @ Ensley (Fairfield), AL
NS @ Ensley (Fairfield), AL",https://www.commtrex.com/railcar-storage/location/712.html,2026-02-10T02:10:15.561882
669,IWS #1,"Tuscaloosa, AL",Tuscaloosa,AL,KCS,300 total spaces,No,none provided,"Plant/Mining Site, Repair Shop, Short Line, Storage Yard",none provided,"This is a 95,000 square foot warehouse connected to our rail spur which has 6 rail doors.",https://www.commtrex.com/railcar-storage/location/669.html,2026-02-10T02:10:18.053399
670,IWS #3,"Tuscaloosa, AL",Tuscaloosa,AL,KCS,150 total spaces,No,none provided,"Plant/Mining Site, Repair Shop, Short Line, Storage Yard",none provided,"This is a 50,000 square foot warehouse located on our rail spur with 3 rail doors.",https://www.commtrex.com/railcar-storage/location/670.html,2026-02-10T02:10:20.488135
558,Sylacauga Alabama,"Sylacauga, AL",Sylacauga,AL,"CSX, NS",40 total spaces,Yes,none provided,Plant/Mining Site,Ladder,New rail siding have room to lease storage,https://www.commtrex.com/railcar-storage/location/558.html,2026-02-10T02:10:22.968159
540,GRS Dothan,"Dothan, AL",Dothan,AL,"CSX, NS",100 total spaces,No,"Cherry Picking, Painting, Railcar Repair",Repair Shop,"FILO, Ladder",,https://www.commtrex.com/railcar-storage/location/540.html,2026-02-10T02:10:25.479916
483,HMCR Tanner Branch,"Tanner, AL",Tanner,AL,CSX,100 total spaces,Yes,Cherry Picking,Plant/Mining Site,Ladder,CSX served. Transloading spots available.,https://www.commtrex.com/railcar-storage/location/483.html,2026-02-10T02:10:27.973427
401,Eco-Vac Rail Car Services,"Gadsden, AL",Gadsden,AL,NS,700 total spaces,Yes,"Cherry Picking, Cleaning",Storage Yard,none provided,Typically we can fit around 700 rail cars on site but  unfortunately we do not have any storage available at the moment. We clean a wide range of products are prepared to handle your cleaning needs.,https://www.commtrex.com/railcar-storage/location/401.html,2026-02-10T02:10:30.574820
338,"Chattahoochee Bay Railroad, Inc.","Dothan, AL",Dothan,AL,CN,-- total spaces,No,none provided,Short Line,none provided,,https://www.commtrex.com/railcar-storage/location/338.html,2026-02-10T02:10:33.080801
355,Huntsville & Madison County Railroad Authority,"Huntsville, AL",Huntsville,AL,NS,400 total spaces,Yes,Cherry Picking,Short Line,"FILO, Ladder","We have 30+ truck to rail transload spots in Huntsville, AL.",https://www.commtrex.com/railcar-storage/location/355.html,2026-02-10T02:10:35.614816
